ticker,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,window_start,window_end
A,2021-07-31,2021-08-17,1.1,0.99,0.11,11.1111,2021-07-17,2021-08-16
AAL,2021-06-30,2021-07-22,-1.69,-1.73,0.04,2.3121,2021-06-22,2021-07-21
AAP,2021-06-30,2021-08-24,3.4,3.04,0.36,11.8421,2021-07-24,2021-08-23
AAPL,2021-06-30,2021-07-27,1.3,1.01,0.29,28.7129,2021-06-27,2021-07-26
ABBV,2021-06-30,2021-07-30,3.09,3.09,0.0,0.0,2021-06-30,2021-07-29
ABT,2021-06-30,2021-07-22,1.17,1.02,0.15,14.7059,2021-06-22,2021-07-21
ACN,2021-08-31,2021-09-23,2.2,2.19,0.01,0.4566,2021-08-23,2021-09-22
ADBE,2021-08-31,2021-09-21,3.11,3.02,0.09,2.9801,2021-08-21,2021-09-20
ADI,2021-07-31,2021-08-18,1.72,1.61,0.11,6.8323,2021-07-18,2021-08-17
ADM,2021-06-30,2021-07-27,1.33,1.03,0.3,29.1262,2021-06-27,2021-07-26
ADP,2021-06-30,2021-07-28,1.2,1.14,0.06,5.2632,2021-06-28,2021-07-27
ADSK,2021-07-31,2021-08-25,1.21,1.13,0.08,7.0796,2021-07-25,2021-08-24
AEE,2021-06-30,2021-08-05,0.8,0.78,0.02,2.5641,2021-07-05,2021-08-04
AEP,2021-06-30,2021-07-22,1.18,1.14,0.04,3.5088,2021-06-22,2021-07-21
AES,2021-06-30,2021-08-04,0.31,0.29,0.02,6.8966,2021-07-04,2021-08-03
AFL,2021-06-30,2021-07-28,1.59,1.27,0.32,25.1969,2021-06-28,2021-07-27
AIG,2021-06-30,2021-08-05,0.11,1.2,-1.09,-90.8333,2021-07-05,2021-08-04
AIZ,2021-06-30,2021-08-03,2.99,2.47,0.52,21.0526,2021-07-03,2021-08-02
AJG,2021-06-30,2021-07-29,1.17,1.14,0.03,2.6316,2021-06-29,2021-07-28
AKAM,2021-06-30,2021-08-03,1.42,1.38,0.04,2.8986,2021-07-03,2021-08-02
ALB,2021-06-30,2021-08-04,0.89,0.84,0.05,5.9524,2021-07-04,2021-08-03
ALGN,2021-06-30,2021-07-28,3.04,2.53,0.51,20.1581,2021-06-28,2021-07-27
ALK,2021-06-30,2021-07-22,-0.3,-0.44,0.14,31.8182,2021-06-22,2021-07-21
ALL,2021-06-30,2021-08-04,3.79,3.17,0.62,19.5584,2021-07-04,2021-08-03
ALLE,2021-06-30,2021-07-22,1.32,1.32,0.0,0.0,2021-06-22,2021-07-21
AMAT,2021-07-31,2021-08-19,1.9,1.77,0.13,7.3446,2021-07-19,2021-08-18
AMCR,2021-06-30,2021-08-17,0.23,0.22,0.01,4.5455,2021-07-17,2021-08-16
AMD,2021-06-30,2021-07-27,0.63,0.54,0.09,16.6667,2021-06-27,2021-07-26
AME,2021-06-30,2021-08-03,1.15,1.1,0.05,4.5455,2021-07-03,2021-08-02
AMGN,2021-06-30,2021-08-03,4.38,4.09,0.29,7.0905,2021-07-03,2021-08-02
AMP,2021-06-30,2021-07-26,5.27,5.2,0.07,1.3462,2021-06-26,2021-07-25
AMT,2021-06-30,2021-07-29,1.65,1.29,0.36,27.907,2021-06-29,2021-07-28
AMZN,2021-06-30,2021-07-29,0.76,0.62,0.14,22.5806,2021-06-29,2021-07-28
ANET,2021-06-30,2021-08-02,0.68,0.64,0.04,6.25,2021-07-02,2021-08-01
AON,2021-06-30,2021-07-30,2.29,1.85,0.44,23.7838,2021-06-30,2021-07-29
AOS,2021-06-30,2021-07-29,0.73,0.65,0.08,12.3077,2021-06-29,2021-07-28
APA,2021-06-30,2021-08-04,0.7,0.57,0.13,22.807,2021-07-04,2021-08-03
APD,2021-06-30,2021-08-09,2.31,2.38,-0.07,-2.9412,2021-07-09,2021-08-08
APH,2021-06-30,2021-07-28,0.61,0.55,0.06,10.9091,2021-06-28,2021-07-27
APTV,2021-06-30,2021-08-05,0.6,0.64,-0.04,-6.25,2021-07-05,2021-08-04
ARE,2021-06-30,2021-07-26,0.73,0.61,0.12,19.6721,2021-06-26,2021-07-25
ATO,2021-06-30,2021-08-04,0.78,0.74,0.04,5.4054,2021-07-04,2021-08-03
AVB,2021-06-30,2021-07-28,0.71,0.66,0.05,7.5758,2021-06-28,2021-07-27
AVGO,2021-07-31,2021-09-02,0.696,0.688,0.008,1.1628,2021-08-02,2021-09-01
AVY,2021-06-30,2021-07-28,2.25,2.04,0.21,10.2941,2021-06-28,2021-07-27
AWK,2021-06-30,2021-08-02,1.14,1.08,0.06,5.5556,2021-07-02,2021-08-01
